0,1,2,3,4
Component,"원료,  성분","완제의약품에서는    포함되지  않을  수  있는  물질을  포함하여,  완제
의약품의  제조에  사용되는  모든  종류의  첨가물을  의미한다.","Component    means  any  ingredient  intended  for  use  in  the  manufacture  of  a 
drug  product,    including  those  that  may  not  appear  in  such  drug  product.",Ref    3
,,"완제의약품에서는  포함되지  않을  수  있는  물질을  포함하여,  완제
의약품의  제조에  사용되는    모든  종류의  첨가물을  의미한다.","Anyingredientintendedforuseinthemanufactureofadrugproduct,includingthosethat
maynotappearinthefinaldrugproduct.",Ref    10
"Compoundin
g",배합,"완제의약품을    생산하기  위하여  벌크  원료의약품을  다른  벌크  원
료의약품  및/또는  하나  이상의  부형제와  결합하는  공정","A    process  wherein  bulk  drug  substance  is  combined  with  another  bulk  drug   
substance  and/or  one  or  more  excipients  to  produce  a  drug  product.",Ref    11
"Computer 
Hardware",컴퓨터    하드웨어,"컴퓨터시스템의    다양한  장비  부분들을  말한다.  이것은  중앙처리
장치(CPU),  프린터,  모뎀,  브라운관,  또는  다른  관련  장비를  포함
한다.","Various    pieces  of  equipment  in  the  computer  system,  including  the  central 
processing    unit,  the  printer,  the  modem,  the  cathode  ray  tube  (CRT),  and 
other  related    apparatus.",Ref    1
"Computer 
System",컴퓨터  시스템,"컴퓨터    하드웨어  구성요소는  소프트웨어  프로그램과  함께  실행
될  수  있도록  구성된다.  이것은  전체적으로  특정  기능  또는  기능
의  그룹을  실행할  수    있도록  설계된  것이다.","Computer    hardware  components  assembled  to  perform  in  conjunction  with  a 
set  of 
  software  programs,  which  are  collectively  designed 
to  perform  a 
specific    function  or  group  of  functions.",Ref    1
,,특정  기능  또는  일정  그룹의  기능을  수행하기  위해  설계되고  조,"A    group  of  hardware  components  and  associated  software,  designed  and",Ref    2
,,립된  하드웨어  구성  부분    및  관련  소프트웨어,assembled    to  perform  a  specific  function  or  group  of  functions.,
"Computerise
d  System",컴퓨터화  시스템,컴퓨터    시스템에  운영을  위한  제어  기능이  더해진  것이다.,A    computer  system  plus  the  controlled  function  that  it  operates.,Ref    1
,,"입력데이터,      전기  공정  및  자동  제어  또는  기록을 
위해  사용될  정보의  출력을  포함하는  시스템","A    system  including  the  input  of  data,  electronic  processing  and  the  output 
of    information  to  be  used  either  for  reporting  or  automatic  control.",Ref    4
,,컴퓨터  시스템과  통합된  공정  또는  작업.,A    process  or  operation  integrated  with  a  computer  system.,Ref    2
"Concurrent 
Validation",동시적    밸리데이션,판매를    목적으로  제품을  생산하는  도중에  실시하는  밸리데이션,"Validation    carried  out  during  routine  production  of  products  intended  for 
sale.",Ref    6
"Configuratio
n","구성설정,    환경설정, 
구성","소프트웨어,    컴퓨터화  시스템,  하드웨어,  펌웨어  및  운영  시스템
과  같은  특정  항목  또는  시스템의  물리적  기능적  성질을  문서화
한  것.  설정을  변경하면    하나의  구성을  다른  구성으로  전환시킨
다.","The    documented  physical  and  functional  characteristics  of  a  particular  item, 
or 
 
system,  e.g. 
software, 
computerised 
system,  hardware, 
firmware  and 
operating    system.  A  change  converts  one  configuration  into  a  new  one.",Ref    1
"Configuratio
n 
Management",설정(구성)    관리,"시스템의    설정  항목을  파악하고  정의하며,  시스템  라이프사이클 
전체에  걸쳐  이  설정  항목의  승인과  변경을  관리하고,  설정  항목
의  상태와  변경  요청을    기록하고  보고하며,  설정  구성  항목의  완
벽성과  정확성을  확인하는  업무.","The    process  of  identifying  and  defining  the  configuration  items  in  a  system,   
controlling  the  release  and  change  of  these  items  throughout  the  system  life   
cycle,  recording  and  reporting  the  status  of  configuration  items  and  change   
requests,  and  verifying 
the  completeness  and  correctness  of  configuration   
items.",Ref    1
"Consignment 
(or  delivery)","납품물,    탁송(배송)물","특정    요청  또는  주문에  따라  한  제조업체가  만들고  한  번에  공
급되는  의약품의  수량으로  일회  납품물은  하나  이상의  포장  또는","The    quantity  of  a  pharmaceutical(s),  made  by  one  manufacturer  and  supplied 
at  one    time  in  response  to  a  particular  request  or  order.  A  consignment",Ref    5
,,"용기를  포괄할  수    있으며,  하나  이상의  배치  물품일  수도  있다.","may 
comprise 
  one  or  more  packages  or 
containers  and  may 
include 
material  belonging  to  more    than  one  batch.",
"Contained 
Area",밀폐(봉쇄)구역,"해당    구역  내에서  생물의약품이  외부로  나가  외부  환경을  오염
시키는  것을  방지할  수  있는  방식(및  적절한  공기조화  장치와  여
과  설비  구비)으로    시공하고  운영하는  구역","An    area  constructed  and  operated  in  such  a  manner  (and  equipped  with 
appropriate    air  handling  and  filtration)  so  as  to  prevent  contamination  of 
the  external    environment  by  biological  agents  from  within  the  area.",Ref    4
Containment,"밀폐,  봉쇄","생물학적인자또는기타물질을일정공간내로제한하는행위
일차봉쇄:생물학적인자가바로인접한작업환경으로침투하는것을막는
봉쇄시스템.안전한운영절차와함께밀폐용기나생물학적안전캐비닛을
사용한다.
이차봉쇄:생물학적인자가외부환경이나기타작업지역으로침투하는것
을막는봉쇄시스템.특수설계된공조장치가구비된작업실,물품유출시
에사용하는멸균기및/또는에어록의설치,안전한운영절차가필요하다.
대개는일차봉쇄의효과를보강하는기능을한다.","Theactionofconfiningabiologicalagentorotherentitywithinadefinedspace.
Primarycontainment:Asystemofcontainmentwhichpreventstheescapeofabiologicala
gentintotheimmediateworkingenvironment.Itinvolvestheuseofclosedcontainersorsa
fetybiologicalcabinetsalongwithsecureoperatingprocedures.
Secondarycontainment:Asystemofcontainmentwhichpreventstheescapeofabiologic
alagentintotheexternalenvironmentorintootherworkingareas.Itinvolvestheuseofroo
mswithspeciallydesignedairhandling,theexistenceofairlocksand/orsterilisersfortheex
itofmaterialsandsecureoperatingprocedures.Inmanycasesitmayaddtotheeffectivene
ssofprimarycontainment.",Ref    4
"Contaminatio
n",오염,"생산,검체채취,포장또는재포장,보관또는수송시원료약품,중간체또는
API에화학적·생물학적성질의불순물이나이물질이원치않게들어가는
것.","The    undesired  introduction  of  impurities  of  a  chemical  or  microbiological 
nature,    or  of  foreign  matter,  into  or  onto  a  raw  material,  intermediate,  or 
API 
  during  production, 
sampling,  packaging  or 
repackaging, 
storage  or 
transport.",Ref    2
,,"생산,검체채취,포장또는재포장,보관또는수송시원료약품,중간체또는
API에화학적·생물학적성질의불순물이나이물질이원치않게들어가는
것.","The    undesired  introduction  of  impurities  of  a  chemical  or  microbiological 
nature, 
 
or 
of 
foreign  matter, 
into 
or 
on 
to 
a 
starting  material 
or 
intermediate    during  production,  sampling,  packaging  or  repackaging,  storage 
or  transport.",Ref    5
"Continual 
Improvement",지속적  개선,"요구 
  기준의  충족  능력을  향상시키는  반복적  활동. 
(ISO 
9000;2005)","Recurring 
 
activity 
to 
increase 
the 
ability 
to 
fulfil 
requirements. 
(ISO 
9000:2005)",Ref    19
,,,,
"Contol 
Number",관리번호,"제조단위를    부여할  수  없는  자재  등을  관리하기  위하여  부여한 
번호로서  숫자ㆍ문자  또는  이들을  조합한  것을  말한다.",N/A,Ref    15
"Contract 
Manufacturer",수탁제조업자,원제조업체를    대신하여  제조  작업의  일부를  수행하는  제조업체,"A    manufacturer  performing  some  aspect  of  manufacturing  on  behalf  of  the   
original  manufacturer.",Ref    2
"Control 
Strategy",관리  전략,"현재의    제품  및  공정  이해를  바탕으로  공정  성능과  제품  품질을 
보장하기  위해  정한  관리  대책.  유효  성분  및  의약품  원료와  관련
된  변수와  특성    요소,  시설  및  설비  운전  조건,  IPC,  최종  제품 
규격,  모니터  및  관리  방법과  주기가  포함될  수  있다.","A 
  planned 
set  of 
controls,  derived 
from 
current  product  and  process   
understanding 
that  ensures  process  performance  and  product  quality.  The   
controls  can  include  parameters  and  attributes  related  to  drug  substance  and   
drug  product  materials  and  components, 
facility  and  equipment  operating   
conditions, 
in-process 
controls, 
finished 
product 
specifications, 
and 
the   
associated  methods  and  frequency  of  monitoring  and  control.",Ref    18
,,"현재의  제품  및  공정  이해를  바탕으로  공정  성능과  제품  품질을 
보장하기  위해  정한    관리  대책.  유효  성분  및  의약품  원료와  관
련된  변수와  특성  요소,  시설  및  설비  운전  조건,  IPC,  최종  제품 
규격,  모니터  및  관리    방법과  주기가  포함될  수  있다.","A 
  planned 
set  of 
controls,  derived 
from 
current  product  and  process   
understanding, 
that  assures  process  performance  and  product  quality.  The   
controls  can  include  parameters  and  attributes  related  to  drug  substance  and   
drug  product  materials  and  components, 
facility  and  equipment  operating   
conditions, 
in-process 
controls, 
finished 
product 
specifications, 
and 
the   
associated  methods  and  frequency  of  monitoring  and  control.",Ref    19
"Controlled 
Area",관리구역,"잠재적인오염원의유입(공급공기는대략청정도D구역과유사할것이
다.)과,생명체(살아있는유기체)에대한예기치못한노출로인한위험을통
제하기위하여구축하고운영하는구역.
  통제  수준은  유기체의  특성을  반영할  수  있어야  한다.    최소한 
통제구역은  외부  환경보다    음압으로  유지되어야  하고,  소량의  부
유  오염물질도  효과적으로  제거해야  한다.","An    area  constructed  and  operated  in  such  a  manner  that  some  attempt  is 
made  to    control  the  introduction  of  potential  contamination  (an  air  supply   
approximating 
to  grade  D  may  be  appropriate),  and 
the  consequences  of   
accidental  release  of  living  organisms.  The  level  of  control  exercised  should   
reflect  the  nature  of  the  organism  employed  in  the  process.  At  a  minimum, 
the    area  should  be  maintained  at  a  pressure  negative  to  the  immediate",Ref    4
,,,"external    environment  and  allow  for  the  efficient  removal  of  small  quantities 
of    airborne  contaminants.",
"Corrective 
Action","시정조치,    개선조치","감지된    부적합  상황  또는  기타  바람직하지  않은  상황의  원인을 
제거하기  위한  조치.  주:  시정  조치는  재발  방지를  위한  것이며, 
예방  조치는  발생    방지를  위한  것이다.  (ISO  9000:2005)","Action 
 
to  eliminate 
the 
cause  of  a  detected  non-conformity  or  other 
undesirable    situation.  NOTE:  Corrective  action  is  taken  to  prevent  recurrence 
whereas    preventive  action  is  taken  to  prevent  occurrence.  (ISO  9000:2005)",Ref    19
Critical,중요한,"API가    규격에  부합하도록  하기  위해  사전  설정된  기준  범위  이
내에서  관리되어야  하는  공정  단계,  공정  조건,  시험  기준,  또는 
기타  관련  변수    또는  항목을  지칭하는  표현.","Describes 
  a  process 
step,  process  condition, 
test 
requirement,  or  other 
relevant    parameter  or  item  that  must  be  controlled  within  predetermined 
criteria  to    ensure  that  the  API  meets  its  specification.",Ref    2
CriticalArea,중요  구역,"무균물질의무균성을유지하기위해설계된공간.
무균제품,용기,마개및장비등이이공간에서노출될수있다.","Anareadesignedtomaintainsterilityofsterilematerials.
Sterilizedproduct,containers,closures,andequipmentmaybeexposedincriticalareas.",Ref    10
"Critical 
operation",중요    조작(작업),의약품의    품질  편차를  유발할  수  있는  제조공정  작업,"An    operation  in  the  manufacturing  process  that  may  cause  variation  in  the   
quality  of  the  pharmaceutical  product.",Ref    5
"Critical 
Process  or 
equipment","중요공정    또는  중요 
기계  설비",제품의    품질에  영향을  미치는  공정  또는  기계ㆍ설비를  말한다.,N/A,Ref    15
"Critical 
Process 
Parameter",중요  공정    변수,"변동이    발생하면  핵심  품질  특성  요소에  영향을  주므로  공정이 
원하는  품질을  생산하도록  하기  위해  모니터  또는  관리해야  하는 
공정  변수.","A    process  parameter  whose  variability  has  an  impact  on  a  critical  quality   
attribute  and 
therefore  should  be  monitored  or  controlled 
to  ensure 
the   
process  produces  the  desired  quality.",Ref    18
Critical,중요  품질    특성,"원하는    제품  품질을  보장하기  위하여  적절한  한도,  범위,  또는","A    physical,  chemical,  biological  or  microbiological  property  or  characteristic    Ref    18",
"Quality 
Attribute",,"분포  이내에  있어야  하는,  물리적,  화학적,  생물학적,  또는  미생물
학적  특징이나    특성.","that  should  be  within  an  appropriate  limit,  range,  or  distribution  to  ensure   
the  desired  product  quality.",
"Critical 
surfaces",중요  표면,"무균제품    또는  제품의  용기  또는  마개에  직접적으로  영향을  주
거나  접촉할  수  있는  표면.  중요  표면은  작업  시작  전  무균  상태
이어야  하며,  공정  내내    무균성이  유지되어야  한다.","Surfacesthatmaycomeintocontactwithordirectlyaffectasterilizedproductoritscontain
ersorclosures.Criticalsurfacesarerenderedsterilepriortothestartofthemanufacturingo
peration,andsterilityismaintainedthroughoutprocessing.",Ref    10
Critical  zone,중요  지역,"무균제품,원료또는제품접촉표면이환경에노출되는무균공정작업실내
부구역","Zone    within  the  Aseptic  Processing  Area  where  sterile  product,  product 
components    or  product  contact  surfaces  are  exposed  to  the  environment.",Ref    12
"CrossContam
ination
(Cross-Conta
mination)",교차오염,어떤    원자재나  제품이  다른  원자재나  제품에  오염되는  것.,"Contamination 
  of  a  material  or  of  a  product  with  another  material  or 
product.",Ref    4
,,어떤  원자재나  제품이  다른  원자재나  제품에  오염되는  것.,Contamination    of  a  material  or  product  with  another  material  or  product.,Ref    2
,,"생산  중에  어떤  출발물질,  반제품  또는  완제품이  다른  출발물질이
나  제품에  오염되는    것.","Contamination 
  of  a 
starting  material, 
intermediate  product  or 
fi  nished 
product  with    another  starting  material  or  product  during  production.",Ref    5
D  value,D  값,"주어진    온도에서  특정  미생물의  개체수가  1로그,  즉  90퍼센트  감
소하는데  걸리는  노출  시간(단위:  분)","Thetime(inminutes)ofexposureatagiventemperaturethatcausesaone-logor90percen
treductioninthepopulationofaspecificmicroorganism.",Ref    10
"Debugging 
(IEEE)",디버깅(오류수정),"의심되는    결함에  대한  위치  확인,  분석,  수정하는  절차","The    process  of  locating,  analysing,  and  correcting  suspected  faults.",Ref    1
"Decision 
Maker(s)",결정  책임자,"적절한    품질  리스크  관리  결정을  적시에  내릴  수  있는  권한과 
능력을  갖춘  자.","Person(s) 
  with 
the  competence  and  authority 
to  make  appropriate  and 
timely  quality  risk    management  decisions.",Ref    14
"Decontamina
tion",오염제거,"포자를제거할수있는화학적물질을사용하여바이오버든을제거하는과
정",Aprocessthateliminatesviablebioburdenviauseofsporicidalchemicalagents.,Ref    10
,,"미생물을  제거하거나  사멸하는  모든  과정.  유해한  화학물질과  방
사성  물질을  제거  또는    중화하는  행위에도  동일한  용어를  사용
한다.","Any    process  for  removing  and/or  killing  microorganisms.  The  same  term  is 
also    used  for  removing  or  neutralizing  hazardous  chemicals  and  radioactive   
materials.",Ref    13
"Depyrogenat
ion","발열성물질제거,    탈파
이로젠",발열성    물질(예.  내독소)의  파괴  혹은  제거  시  사용하는  과정,"Aprocessusedtodestroyorremovepyrogens(e.g.,endotoxin).",Ref    10
"Design 
qualification 
(DQ)",설계적격성평가,"시설,    시스템,  설비의  설계안이  목적  용도에  적합함을  확인하여 
문서화  하는  절차","The 
  documented  verification 
that 
the  proposed  design  of 
the 
facilities, 
systems    and  equipment  is  suitable  for  the  intended  purpose.",Ref    6
,,"기계,  설비  또는  시스템의  설계가  의도한  목적에  적합한지를  검증
하고  문서화하는  것을    말한다.",N/A,Ref    17
,,,,
"Design 
Space","디자인  스페이스,  설계   
영역","품질    보증과의  연관성이  증명된  공정  변수와  투입  변수(예,  물품 
특성  요소)의  다차원적  조합과  상호작용.  디자인  스페이스  안에서
의  작업은    변경으로  간주되지  않는다.  디자인  스페이스를  벗어나
는  것은  변경으로  간주되며  일반적으로  규제  기관에  변경  신청을 
해야  한다.  디자인    스페이스는  신청업체가  제안하며  규제  기관의 
평가와  승인을  받는다.","The    multidimensional  combination  and  interaction  of 
input  variables 
(e.g.,   
material  attributes)  and  process  parameters  that  have  been  demonstrated  to   
provide 
assurance 
of  quality.  Working  within 
the 
design 
space 
is 
not   
considered  as  a  change.  Movement  out  of  the  design  space  is  considered  to 
be    a  change  and  would  normally  initiate  a  regulatory  post  approval  change   
process.  Design 
space 
is  proposed  by 
the 
applicant 
and 
is 
subject 
to   
regulatory  assessment  and  approval.",Ref    18
,,"품질을  보증하는  것으로  증명된  프로세스  변수와  투입  변수(예, 
물품  특성)의  다차원적    조합  및  상호  작용.","The    multidimensional  combination  and  interaction  of 
input  variables 
(e.g.,   
material  attributes)  and  process  parameters  that  have  been  demonstrated  to   
provide  assurance  of  quality.",Ref    19
Detectability,검출능력,위해    요소의  존재나  사실을  발견하거나  결정하는  능력.,"The    ability  to  discover  or  determine  the  existence,  presence,  or  fact  of  a   
hazard.",Ref    14
"Detection 
Limit",검출한계,"검체    중에  존재하는  분석대상물질의  검출  가능한  최소량을  말한
다.",N/A,Ref    17
Deviation,일탈,승인된    지시  사항  또는  확립된  기준에서  벗어나는  사항,Departure    from  an  approved  instruction  or  established  standard.,Ref    2
,,"제조  또는  품질관리  과정에서  미리  정하여진  기준을  벗어나  이루
어진  행위를  말한다.",N/A,Ref    15
,,,,
Disinfectant,"소독약,    소독제","미생물을    사멸하기  위해  사용하는  화학물질  또는  화학물질  혼합
물로  반드시  포자를  제거하는  것은  아니다.  주로  표면  또는  사물
의  미생물을  죽이기  위해    사용한다.","A    chemical  or  mixture  of  chemicals  used  to  kill  microorganisms,  but  not   
necessarily  spores.  Disinfectants  are  usually  applied  to  inanimate  surfaces    or 
objects.",Ref    13
Disinfection,소독,"표면의 
  바이오버든을  안전한  수준으로  감소시키거나  제거하는 
과정.  미생물  균체에만  효과가  있는  소독제도  있고  세균  및  진균 
포자를  효과적으로    사멸하는  부가적인  효능이  있는  소독제도  있
다.","Processbywhichsurfacebioburdenisreducedtoasafeleveloreliminated.Somedisinfecti
onagentsareeffectiveonlyagainstvegetativemicrobes,whileotherspossessadditionalc
apabilitytoeffectivelykillbacterialandfungalspores.",Ref    10
,,"미생물을  사멸하는  물리적  또는  화학적  방법으로  반드시  포자를 
제거하지는  않는다.","Aphysicalorchemicalmeansofkillingmicroorganisms,butnot
necessarilyspores.",Ref    13
Drug,의약품,"""의약품""이란다음각목의어느하나에해당하는물품을말한다.
가.대한민국약전(大韓民國藥典)에실린물품중의약외품이아닌것
나.사람이나동물의질병을진단·치료·경감·처치또는예방할목적으로사
용하는물품중기구·기계또는장치가아닌것
다.사람이나동물의구조와기능에약리학적(藥理學的)영향을줄목적으
로사용하는물품중기구·기계또는장치가아닌것",N/A,Ref    16
"DrugProduct,   
    Medicinal 
Product","완제의약품,  제제,약제",시판용으로    최종의  직접  용기에  포장된  제형.,The    dosage  form  in  the  final  immediate  packaging  intended  for  marketing.,Ref    2
,,"완제의약품이란  정제,  캡슐제,  액제  등  일반적으로(반드시  그런  것
은  아니다)    비활성성분과  결합된  활성성분을  포함하는  최종  제형
을  의미한다.  완제의약품은  활성  성분을  포함하지  않으나  위약으","Drug 
  productmeans  a 
finished  dosage 
form, 
for  example, 
tablet,  capsule, 
solution, 
  etc., 
that  contains  an  active  drug 
ingredient  generally,  but  not 
necessarily,    in  association  with  inactive  ingredients.  The  term  also  includes  a",Ref    3
,,로  사용하는  최종  제형을    포함한다.,"finished 
  dosage 
form 
that  does  not  contain  an  active 
ingredient  but 
is 
intended  to  be    used  as  a  placebo.",
"Drug 
Substance",원료의약품,활성    성분(API)  참조,See    Active  Pharmaceutical  Ingredient,Ref    2
Dynamic,작업  상태,일반적인    생산  조건  하에서  청정구역  분류와  관련된  조건들,Conditionsrelatingtocleanareaclassificationunderconditionsofnormalproduction.,Ref    10
"Electronic 
Signature",전자서명,"특정    데이터  입력의  승인,  허가  또는  검증을  의미하는  목적의  수
기서명  또는  약식  서명을  대체할  수  있는  전자적인  방법을  말한
다.  위의  “첨단    전자서명”을  참조한다.","Anelectronicmeasurethatcanbesubstitutedforahandwrittensignatureorinitialsforthe
purposeofsignifyingapproval,authorisationorverificationofspecificdataentries.
Seealsodefinitionfor‘AdvancedElectronicSignature’,above.",Ref    1
,,"1999/93/EC  states:’전자서명’은  전자적인  형식의  데이터를  의미한
다.    그것은  다른  전자  데이터와  첨부되거나  논리상  연관된  것이
다.  또한  이것은  입증의  방법으로  사용된다.","1999/93/EC    states:  ‘electronic  signature’  means  data  in  electronic  form  which 
are    attached  to  or  logically  associated  with  other  electronic  data  and  which   
serve 
as 
a  method 
of 
authentication. 
(See 
also 
‘Advanced 
Electronic   
Signature’)",Ref    1
,,"21  CFR  파트  11:  개인의  수기  서명과  동등한  법적  구속력을  갖는, 
개인이    작성,  채택,  인가한  상징  또는  일련의  상징으로  이루어진 
컴퓨터  데이터  편집물을  의미한다.","21    CFR  Part11  defines  this  as:  The  computer  data  compilation  of  any  symbol 
or    series  of  symbols  executed,  adopted,  or  authorised  by  an  individual  to  be 
the    legally  binding  equivalent  of  the  individual’s  hand-written  signature.",Ref    1
"Embedded 
System",내장형    시스템,"일반적으로    마이크로프로세서나  PLC  기반  시스템과  같이  자동화 
설비의  특정  부분의  제어가  유일한  목적인  시스템을  말한다.  이것
은  독립형  컴퓨터    시스템과  대조된다.","A    system,  usually  microprocessor  or  PLC  based,  whose  sole  purpose  is  to 
control    a  particular  piece  of  automated  equipment.  This  is  contrasted  with  a   
standalone  computer  system.",Ref    1
Enabler,촉진  요소,목표    달성  수단을  제공하는  도구  또는  프로세스.,A    tool  or  process  which  provides  the  means  to  achieve  an  objective.,Ref    19
Endotoxin,"내독소,    엔도톡신,  군
체내독소","박테리아    세포  벽에  존재하는  발열성  물질(예:  지질다당류).  엔도
톡신이  들어간  주사를  맞은  환자는  발열부터  사망에  이르는  반응
을  나타낼  수  있다.","Apyrogenicproduct(e.g.,lipopolysaccharide)presentinthebacterialcellwall.Endotoxin
canleadtoreactionsinpatientsreceivinginjectionsrangingfromfevertodeath.",Ref    10
"Environment
al 
monitoring 
programme",환경모니터링프로그램,"공정과    제조  구역에  대한  일상적인  미립자  및  미생물  모니터링
을  기술하고  조치  수준을  초과하였을  때  시정  조치를  포함하는 
문서화된  특정  프로그램","Defined    documented  programme  which  describes  the  routine  particulate  and   
microbiological  monitoring 
of 
processing 
and  manufacturing 
areas, 
and   
includes  a  corrective  action  plan  when  action  levels  are  exceeded.",Ref    11
"Executive 
Program",실행    프로그램,"일반적으로    운영  시스템의  일부로  다른  컴퓨터  프로그램의  실행
을  통제하고  데이터  처리  시스템  내  업무  흐름을  통제하는  컴퓨
터  프로그램.","A    computer  program,  usually  part  of  the  operating  system,  that  controls  the   
execution  of  other  computer  programs  and  regulates  the  flow  of  work  in  a 
data    processing  system.",Ref    1
"Expiry  Date 
(or 
Expiration 
Date)","유효기한,    사용기간","API의    용기/라벨에  표기된  일자로,  이  일자까지는  해당  API를  지
정  조건에서  보관하였을  때  설정된  유효기간  규격  범위  이내의 
품질이  유지될    것으로  예상되며,  그  일자를  넘었을  때에는  사용
하지  말아야  한다.","The 
  date  placed  on 
the  container/labels  of  an  API  designating 
the 
time 
during 
  which 
the  API 
is  expected 
to 
remain  within  established  shelf 
life   
specifications  if  stored  under  defined  conditions,  and  after  which  it  should   
not  be  used.",Ref    2
"Feedback  / 
Feedforward",피드백/피드포워드,"피드백:프로세스또는시스템의결과나영향에의한그프로세스나시스템
의변형또는관리
피드포워드:프로세스의예상결과나영향을활용한프로세스의변형또는","Feedback:Themodificationorcontrolofaprocessorsystembyitsresultsoreffects.
Feedforward:Themodificationorcontrolofaprocessusingitsanticipatedresultsoreffect
s.(OxfordDictionaryofEnglish.OxfordUniversityPress;2003)",Ref    19
,,"관리.(OxfordDictionaryofEnglish.OxfordUniversityPress;2003)
피드백/피드포워드를공정관리전략에기술적으로적용하고,품질관리
에개념적으로적용할수있다.","Feedback/feedforwardcanbeappliedtechnicallyinprocesscontrolstrategiesandconce
ptuallyinqualitymanagement.",
Fiber,섬유,"폭    보다  길이가  최소한  3배  이상  큰  미립자  오염물질을  의미한
다.","Fibermeans    any  particulate  contaminant  with  a  length  at  least  three  times 
greater  than    its  width.",Ref    3
"Finished 
Product","완제품,  최종제품","최종    용기로의  포장을  포함하여  생산의  모든  단계를  거친  의약
품.","A    medicinal  product  which  has  undergone  all  stages  of  production,  including   
packaging  in  its  final  container.",Ref    4
,,"최종  용기에의  포장  작업과  라벨  작업을  포함하여  모든  제조  단
계를  거친  완제  의약품","A 
 
finished  dosage 
form 
that  has  undergone  all 
stages  of  manufacture, 
including    packaging  in  its  fi  nal  container  and  labelling.",Ref    5
,,"의약품제조에서모든제조공정이완료된원료의약품      또는  완제의약
품을  말한다.",N/A,Ref    15
Firmware,펌웨어,"EPROM과같이,하드웨어장치에영구적으로이식된소프트웨어프로그
램을말한다.
(EPROM=‘ErasableProgrammableReadOnlyMemory’)","A    software  program  permanently  recorded  in  a  hardware  device,  such  as  an 
EPROM. 
 
(3) 
(Note:  EPROM  stands 
for 
‘Erasable  Programmable  Read  Only 
Memory’)",Ref    1
"Functional 
Requirement",기능적    요구사항,"컴퓨터    연관  시스템이  실행해야  하는  기능에  관해  서술한  내역
서","Statements 
 
that  describe 
functions  a 
computer-related 
system  must  be 
capable  of    performing.",Ref    1
s,,,,
"Functional 
Specification
s",기능  규격서,"컴퓨터화    시스템이  컴퓨터  연관  시스템의  기능  요구사항을  만족
시킬  방법에  관한  내역서","Statements 
 
of 
how 
the 
computerised 
system 
will 
satisfy 
functional 
requirements  of  the    computer-related  system.",Ref    1
"Functional 
Testing",기능  시험,"의도된    기능을  실행하는  소프트웨어,  시스템  또는  시스템  구성요
소를  검증하는  과정","A 
  process 
for  verifying 
that  software,  a  system,  or  a  system  component 
performs    its  intended  functions.",Ref    1
"Gang-printed 
labeling",혼합조판인쇄라벨,"둘    이상의  라벨  항목이  인쇄된  자재에서  유래된  라벨을  의미한
다.","Gang-printed    labeling  means  labeling  derived  from  a  sheet  of  material  on 
which  more  than    one  item  of  labeling  is  printed.",Ref    3
"Good 
Manufacturin
g  Practice 
for 
Medicinal 
Products 
(GMP)","의약품  제조    및  품질
관리  기준","허가사항또는시험규격에의해요구되고,사용목적에적합하도록하는품
질기준들에따라제품이일관되게생산되고조절되고있음을보증하는품
질보증의일부이다.GMP는생산과품질관리모두와관계가있다.","1.2GoodManufacturingPracticeisthatpartofQualityAssurancewhichensuresthatprod
uctsareconsistentlyproducedandcontrolledtothequalitystandardsappropriatetotheir
intendeduseandasrequiredbytheMarketingAuthorisationorproductspecification.
GoodManufacturingPracticeisconcernedwithbothproductionandqualitycontrol.",Ref    9
"Gowning 
Qualification","무균복  착용    적격성
평가","작업자개인이무균적인방법으로무균복을착용할수있는능력을입증할
수있도록처음또는주기적으로시행하는프로그램.","Aprogramthatestablishes,bothinitiallyandonaperiodicbasis,thecapabilityofanindivid
ualtodonthecompletesterilegowninanasepticmanner.",Ref    10
Growth,배지성능시험,배지가    미생물  성장을  촉진함을  증명하기  위하여  수행하는  시험,Test    performed  to  demonstrate  that  media  will  support  microbial  growth.,Ref    11
"promotion 
test",,,,
"Half-Finished 
Product",반제품,"제조공정단계에있는것으로서필요한제조공정을더 
  거쳐야  완제품
이  되는  것을      말한다.",N/A,Ref    15
"Hardware 
Acceptance 
Test 
Specification","하드웨어    허용  시험 
규격서","하드웨어    설치물의  모든  주요  측면을  테스트하여  관련  법규와 
승인  받은  설계  기준에  부합하는지  확인하고  정부  기관의  규제를 
받는  사용자가  요구했던    사항을  적합하게  고려하여  반영했는지 
확인하기  위한  문서.","Statements 
 
for 
the 
testing  of  all  key  aspects  of  hardware 
installation 
to 
assure    adherence  to  appropriate  codes  and  approved  design  intentions  and 
that 
the 
 
recommendations 
of 
the 
regulated 
user 
have  been 
suitably 
considered.",Ref    1
"Hardware 
Design 
Specification","하드웨어    설계  규격
서","소프트웨어를    설치하는  하드웨어  자체에  대한  정보와  그  하드웨
어를  다른  시스템이나  설비와  연결하는  방법을  기술한  문서.","Description    of  the  hardware  on  which  the  software  resides  and  how  it  is  to 
be  connected    to  any  system  or  equipment.",Ref    1
Harm,"해,  위해","제품    품질  또는  활용성  상실로  인해  발생할  수  있는  훼손을  포
함한  건강  훼손.","Damage 
 
to  health, 
including 
the  damage 
that  can  occur 
from 
loss  of 
product  quality    or  availability.",Ref    14
Hazard,위해요소,위해의    잠재적  원인,The    potential  source  of  harm,Ref    14
